Country Name,Country Code,IntUsrs2000,IntUsrs2001,IntUsrs2002,IntUsrs2003,IntUsrs2004,IntUsrs2005,IntUsrs2006,IntUsrs2007,IntUsrs2008,IntUsrs2009,IntUsrs2010,IntUsrs2011,IntUsrs2012,IntUsrs2013,IntUsrs2014
Tajikistan,TJK,0,0.1,0.1,0.1,0.1,0.3,3.8,7.2,8.8,10.1,11.6,13,14.5,16,17.5
Tanzania,TZA,0.1,0.2,0.2,0.7,0.9,1.1,1.3,1.6,1.9,2.4,2.9,3.2,4,4.4,4.9
Thailand,THA,3.7,5.6,7.5,9.3,10.7,15,17.2,20,18.2,20.1,22.4,23.7,26.5,28.9,34.9
Timor-Leste,TMP,..,..,0,..,..,0.1,0.1,0.1,0.2,0.2,0.2,0.9,0.9,1.1,1.1
Togo,TGO,0.8,0.9,1,1.2,1.5,1.8,2,2.2,2.4,2.6,3,3.5,4,4.5,5.7
Tonga,TON,2.4,2.8,2.9,3,4,4.9,5.9,7.2,8.1,10,16,25,33,35,40
Trinidad and Tobago,TTO,7.7,15.4,22,26,27,29,30,32.3,34.8,44.3,48.5,55.2,59.5,63.8,65.1
Tunisia,TUN,2.8,4.3,5.3,6.5,8.5,9.7,13,17.1,27.5,34.1,36.8,39.1,41.4,43.8,46.2
Turkey,TUR,3.8,5.2,11.4,12.3,14.6,15.5,18.2,28.6,34.4,36.4,39.8,43.1,45.1,46.3,51
Turkmenistan,TKM,0.1,0.2,0.3,0.4,0.8,1,1.3,1.4,1.8,2,3,5,7.2,9.6,12.2
Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,TUV,5.2,..,..,..,..,..,..,10,15,20,25,30,35,37,..
Uganda,UGA,0.2,0.2,0.4,0.5,0.7,1.7,2.5,3.7,7.9,9.8,12.5,13,14.7,16.2,17.7
Ukraine,UKR,0.7,1.2,1.9,3.1,3.5,3.7,4.5,6.6,11,17.9,23.3,28.7,35.3,41,43.4
United Arab Emirates,ARE,23.6,26.3,28.3,29.5,30.1,40,52,61,63,64,68,78,85,88,90.4
United Kingdom,GBR,26.8,33.5,56.5,64.8,65.6,70,68.8,75.1,78.4,83.6,85,85.4,87.5,89.8,91.6
United States,USA,43.1,49.1,58.8,61.7,64.8,68,68.9,75,74,71,71.7,69.7,79.3,84.2,87.4
Uruguay,URY,10.5,11.1,11.4,15.9,17.1,20.1,29.4,34,39.3,41.8,46.4,51.4,54.5,57.7,61.5
Uzbekistan,UZB,0.5,0.6,1.1,1.9,2.6,3.3,6.4,7.5,9.1,17.1,20,30.2,36.5,38.2,43.6
Vanuatu,VUT,2.1,2.8,3.5,3.9,4.7,5.1,5.9,6.8,7.3,7.5,8,9.2,10.6,11.3,18.8
"Venezuela, RB",VEN,3.4,4.6,4.9,7.5,8.4,12.6,15.2,20.8,25.9,32.7,37.4,40.2,49.1,54.9,57
Vietnam,VNM,0.3,1.3,1.9,3.8,7.6,12.7,17.3,20.8,23.9,26.6,30.7,35.1,39.5,43.9,48.3
Virgin Islands (U.S.),VIR,13.8,18.4,27.5,27.4,27.4,27.3,27.3,27.3,27.4,27.4,31.2,35.6,40.5,45.3,50.1
West Bank and Gaza,WBG,1.1,1.8,3.1,4.1,4.4,16,18.4,21.2,24.4,32.2,37.4,41.1,43.4,46.6,53.7
"Yemen, Rep.",YEM,0.1,0.1,0.5,0.6,0.9,1,1.2,5,6.9,10,12.4,14.9,17.4,20,22.6
Zambia,ZMB,0.2,0.2,0.5,1,2,2.9,4.2,4.9,5.6,6.3,10,11.5,13.5,15.4,17.3
Zimbabwe,ZWE,0.4,0.8,4,6.4,6.6,8,9.8,10.9,11.4,11.4,11.5,15.7,17.1,18.5,19.9
Arab World,ARB,1.1,1.6,2.7,3.6,7,8.4,11.7,14.2,18.6,21.5,24.5,26.5,30,32.3,34.5
Caribbean small states,CSS,4.9,8.4,11.8,15,16.9,19.5,22.3,24.5,27.7,31.9,35.8,42.7,43.3,46.3,49.3
East Asia & Pacific,EAS,5.6,7.3,9,10.5,12.6,14.7,16.6,20.8,25.3,29.5,34.2,37.4,40.7,44.4,46.9
East Asia & Pacific (excluding high income),EAP,1.9,2.8,4.4,5.8,6.9,8.3,10.2,14.4,19.3,23.8,29,32.4,36.1,39.4,42.1
